202506210020
         lat         lon       gridj       gridi       p_lev        levm          tc          td      u_wind      v_wind      sp_hum
      30.813     104.425     124.220     157.765   95461.324      40.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   95438.433      42.000   -9999.999   -9999.999       0.523       0.368   -9999.999
      30.813     104.425     124.220     157.765   95278.314      56.000   -9999.999   -9999.999       0.063       0.777   -9999.999
      30.813     104.425     124.220     157.765   95107.000      71.000   -9999.999   -9999.999       0.332       0.661   -9999.999
      30.813     104.425     124.220     157.765   94947.332      85.000   -9999.999   -9999.999       0.702       0.547   -9999.999
      30.813     104.425     124.220     157.765   94787.880      99.000   -9999.999   -9999.999       0.687       0.627   -9999.999
      30.813     104.425     124.220     157.765   94628.646     113.000   -9999.999   -9999.999       0.933       0.862   -9999.999
      30.813     104.425     124.220     157.765   94469.629     127.000   -9999.999   -9999.999       1.019       1.141   -9999.999
      30.813     104.425     124.220     157.765   94299.493     142.000   -9999.999   -9999.999       1.117       1.347   -9999.999
      30.813     104.425     124.220     157.765   94140.924     156.000   -9999.999   -9999.999       1.301       1.398   -9999.999
      30.813     104.425     124.220     157.765   93982.570     170.000   -9999.999   -9999.999       1.364       1.393   -9999.999
      30.813     104.425     124.220     157.765   93824.433     184.000   -9999.999   -9999.999       1.358       1.314   -9999.999
      30.813     104.425     124.220     157.765   93655.239     199.000   -9999.999   -9999.999       1.331       1.167   -9999.999
      30.813     104.425     124.220     157.765   93497.547     213.000   -9999.999   -9999.999       1.236       1.016   -9999.999
      30.813     104.425     124.220     157.765   93340.071     227.000   -9999.999   -9999.999       1.155       0.808   -9999.999
      30.813     104.425     124.220     157.765   93182.809     241.000   -9999.999   -9999.999       1.052       0.797   -9999.999
      30.813     104.425     124.220     157.765   93025.762     255.000   -9999.999   -9999.999       0.915       0.760   -9999.999
      30.813     104.425     124.220     157.765   92857.736     270.000   -9999.999   -9999.999       0.763       0.873   -9999.999
      30.813     104.425     124.220     157.765   92701.132     284.000   -9999.999   -9999.999       0.623       1.084   -9999.999
      30.813     104.425     124.220     157.765   92544.743     298.000   -9999.999   -9999.999       0.478       1.348   -9999.999
      30.813     104.425     124.220     157.765   92388.568     312.000   -9999.999   -9999.999       0.275       1.403   -9999.999
      30.813     104.425     124.220     157.765   92232.606     326.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   92065.740     341.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   91910.220     355.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   91754.912     369.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   91599.817     383.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   91433.879     398.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   91279.224     412.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   91124.780     426.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
      30.813     104.425     124.220     157.765   90970.548     440.000   -9999.999   -9999.999   -9999.999   -9999.999   -9999.999
